Map	Roundtype	Blue Team	Red Team	time	len	KB	KR	UB	UR	FB	Death Sequence
Dorado	Attack	 SFS	 VAL	7:54	4	1	1	2	2	B	GenjiMccree
Dorado	Attack	 SFS	 VAL	6:49	38	1	6	2	4	R	ZenyattaTracerWinstonWinstonMercyMccreeD.Va
Dorado	Attack	 SFS	 VAL	6:05	26	7	1	4	1	R	ZenyattaTracerWinstonD.VaMercyWinstonTracerZenyatta
Dorado	Attack	 SFS	 VAL	4:54	19	2	4	0	0	R	MccreeTracerGenjiWinstonD.VaZenyatta
Dorado	Attack	 SFS	 VAL	5:23	6	0	1	1	1	R	Mccree
Dorado	Attack	 SFS	 VAL	4:05	18	6	0	1	0	B	D.VaZenyattaGenjiWidowmakerWinstonMercy
Dorado	Attack	 SFS	 VAL	3:24	17	4	2	3	1	R	ZenyattaWinstonMercyD.VaGenjiMccree
Dorado	Attack	 SFS	 VAL	2:14	28	7	2	3	3	B	GenjiGenjiTracerD.VaZenyattaMercyZenyattaGenjiWinston
Dorado	Attack	 SFS	 VAL	1:51	7	0	1	1	0	R	Winston
Dorado	Attack	 SFS	 VAL	1:05	24	1	6	2	3	B	WinstonZenyattaWinstonMccreeD.VaGenjiMccree
Dorado	Attack	 SFS	 VAL	0:29	14	5	0	0	0	B	MercyZenyattaGenjiD.VaTracer
Dorado	Defense	 SFS	 VAL	5:10	11	0	6	0	1	R	JunkratMccreeWinstonMercyZenyattaD.Va
Dorado	Defense	 SFS	 VAL	5:47	4	0	3	2	1	R	ZenyattaWinstonMccree
Dorado	Defense	 SFS	 VAL	4:07	37	7	2	4	4	B	TracerZenyattaZenyattaWinstonJunkratMercyZenyattaWinstonD.Va
Dorado	Defense	 SFS	 VAL	3:18	30	1	7	2	2	B	D.VaMccreeZenyattaMccreeJunkratMercyWinstonD.Va
Dorado	Defense	 SFS	 VAL	3:02	2	1	0	0	0	B	Genji
Dorado	Defense	 SFS	 VAL	2:07	23	4	0	2	2	B	ZenyattaGenjiMercyWinston
Dorado	Defense	 SFS	 VAL	1:44	15	2	1	2	1	B	GenjiMccreeTracer
Dorado	Defense	 SFS	 VAL	0:58	23	2	8	2	3	B	WinstonWinstonZenyattaJunkratZenyattaMccreeJunkratD.VaWinstonMercy
Dorado	Defense	 SFS	 VAL	0:15	5	2	0	0	0	B	GenjiWinston
Temple of Anubis	Attack	 SFS	 VAL	2:22	88	16	6	9	6	B	MercyGenjiGenjiTracerGenjiZenyattaZenyattaMercyGenjiWinstonZenyattaMercyD.VaWinstonMercyTracerZenyattaGenjiD.VaLucioGenjiTracer
Temple of Anubis	Attack	 SFS	 VAL	1:20	18	6	2	1	1	B	OrisaZenyattaWidowmakerGenjiJunkratZenyattaMercyD.Va
Temple of Anubis	Attack	 SFS	 VAL	0:41	19	4	5	0	1	B	MercyWinstonTracerWidowmakerZenyattaD.VaJunkratMercyZenyatta
Temple of Anubis	Defense	 SFS	 VAL	3:35	36	2	7	4	4	R	ZenyattaGenjiTracerMercyWinstonGenjiD.VaTracerMercy
Temple of Anubis	Defense	 SFS	 VAL	2:43	27	4	0	2	0	B	JunkratZenyattaWidowmakerWinston
Temple of Anubis	Defense	 SFS	 VAL	1:30	54	4	7	4	5	R	WinstonWinstonZenyattaZenyattaZenyattaMercyJunkratWinstonGenjiD.VaTracer
Temple of Anubis	Defense	 SFS	 VAL	0:57	12	3	3	2	1	R	TracerGenjiWinstonWinstonZenyattaD.Va
Temple of Anubis	Defense	 SFS	 VAL	0:25	3	2	1	0	0	B	WinstonGenjiMercy
Temple of Anubis	Defense	 SFS	 VAL	2:30	67	0	16	3	6	R	ZenyattaGenjiZenyattaTracerWinstonGenjiD.VaMercyMoiraWinstonTracerD.VaLucioWinstonMoiraJunkrat
Temple of Anubis	Defense	 SFS	 VAL	1:39	12	6	3	0	1	R	MercyWidowmakerMercyZenyattaZenyattaD.VaWinstonTracerWinston
Temple of Anubis	Defense	 SFS	 VAL	0:32	29	1	6	0	1	B	D.VaTracerMercyWinstonWidowmakerZenyattaD.Va
Temple of Anubis	Attack	 SFS	 VAL	5:03	32	4	5	3	3	B	WinstonZenyattaD.VaMercyTracerTracerZenyattaD.VaGenji
Temple of Anubis	Attack	 SFS	 VAL	3:57	30	6	4	1	1	R	TracerZenyattaMercyJunkratWidowmakerZenyattaWinstonOrisaZenyattaD.Va
Temple of Anubis	Attack	 SFS	 VAL	3:15	16	1	3	1	2	R	ZenyattaZenyattaMercyWinston
Temple of Anubis	Attack	 SFS	 VAL	2:55	0	0	1	0	0	R	Genji
Temple of Anubis	Attack	 SFS	 VAL	2:18	19	3	3	3	2	R	ZenyattaZenyattaGenjiMercyWidowmakerWinston
Temple of Anubis	Attack	 SFS	 VAL	1:15	29	0	4	1	0	R	TracerWinstonMercyZenyatta
Temple of Anubis	Attack	 SFS	 VAL	0:15	26	2	5	0	0	R	GenjiGenjiWidowmakerZenyattaWinstonTracerZenyatta
Ilios	Lighthouse	 SFS	 VAL	4:05	6	0	1	1	0	R	Lucio
Ilios	Lighthouse	 SFS	 VAL	4:29	29	7	0	4	3	B	ZenyattaWinstonTracerD.VaWinstonWinstonMercy
Ilios	Lighthouse	 SFS	 VAL	3:39	8	0	2	1	0	R	WinstonMercy
Ilios	Lighthouse	 SFS	 VAL	1:48	82	9	11	4	6	B	TracerD.VaPharahZenyattaZenyattaLucioPharahMercyMercyWinstonWinstonD.VaLucioMercyZenyattaTracerMercyWinstonPharahPharah
Ilios	Lighthouse	 SFS	 VAL	0:19	4	2	0	0	0	B	WinstonMercy
Ilios	Lighthouse	 SFS	 VAL	1:13	10	3	0	0	0	B	TracerMccreeWinston
Ilios	Ruins	 SFS	 VAL	2:29	20	2	5	2	1	R	ZenyattaMercyWinstonWidowmakerD.VaZenyattaWidowmaker
Ilios	Ruins	 SFS	 VAL	1:08	63	3	7	6	5	R	WinstonTracerD.VaZenyattaWidowmakerWinstonTracerD.VaZenyattaWidowmaker
Ilios	Ruins	 SFS	 VAL	0:17	25	1	4	0	0	R	TracerWidowmakerZenyattaWidowmakerWidowmaker
Ilios	Well	 SFS	 VAL	3:27	42	2	12	2	5	R	ZenyattaMccreeZenyattaMccreeWinstonMccreeGenjiMercyD.VaTracerZenyattaTracerSoldier: 76Winston
Ilios	Well	 SFS	 VAL	2:33	25	1	4	3	1	R	ZenyattaMercyTracerTracerMccree
Ilios	Well	 SFS	 VAL	1:35	27	0	7	2	3	R	ZenyattaMercyWinstonD.VaTracerZenyattaMccree
Ilios	Well	 SFS	 VAL	1:07	22	4	1	2	0	B	MccreeWinstonWinstonMccreeD.Va
Ilios	Well	 SFS	 VAL	0:21	20	6	1	0	0	B	ZenyattaMercyMccreeWinstonWinstonD.VaTracer
Numbani	Attack	 SFS	 VAL	3:59	31	7	3	2	2	B	TracerZenyattaD.VaWinstonTracerZenyattaTracerWinstonZenyattaSoldier: 76
Numbani	Attack	 SFS	 VAL	3:07	22	1	3	0	1	R	Soldier: 76Soldier: 76MercyTracer
Numbani	Attack	 SFS	 VAL	2:10	23	1	6	4	4	B	WinstonMercyZenyattaWinstonD.VaTracerGenji
Numbani	Attack	 SFS	 VAL	1:11	29	2	4	3	2	B	WinstonD.VaMercyWinstonTracerD.Va
Numbani	Attack	 SFS	 VAL	0:25	19	2	5	0	0	R	ZenyattaWinstonMercyTracerGenjiD.VaTracer
Numbani	Attack	 SFS	 VAL	5:23	27	1	6	1	2	R	TracerMccreeMercyWinstonZenyattaSoldier: 76D.Va
Numbani	Attack	 SFS	 VAL	6:11	56	1	11	4	4	R	MccreeWinstonWinstonTracerZenyattaMccreeWinstonMercyTracerD.VaZenyattaWinston
Numbani	Defense	 SFS	 VAL	0:19	18	3	1	0	0	B	ZenyattaSoldier: 76MercyZenyatta
Numbani	Defense	 SFS	 VAL	1:01	50	1	10	3	3	R	Soldier: 76ZenyattaSoldier: 76D.VaMercyAnaWinstonD.VaTracerMercyWidowmaker
Numbani	Defense	 SFS	 VAL	2:27	14	2	2	2	3	B	WinstonTracerD.VaWidowmaker
Numbani	Defense	 SFS	 VAL	3:04	5	1	0	0	0	B	Mercy
Numbani	Defense	 SFS	 VAL	3:18	6	0	1	0	0	R	Tracer
Numbani	Defense	 SFS	 VAL	3:39	0	0	1	0	0	R	D.Va
Dorado	Attack	 SHD	 GLA	1:02	33	3	5	4	2	B	DoomfistWinstonMercyWinstonWinstonDoomfistD.VaTracer
Dorado	Attack	 SHD	 GLA	2:06	12	0	3	1	2	R	WidowmakerD.VaWinston
Dorado	Attack	 SHD	 GLA	2:54	23	0	3	0	0	R	TracerMccreeZenyatta
Dorado	Attack	 SHD	 GLA	3:44	31	1	7	4	3	B	WidowmakerMccreeMercyWinstonZenyattaMccreeD.VaTracer
Dorado	Defense	 SHD	 GLA	0:19	23	1	6	0	1	R	ZenyattaTracerGenjiMercySoldier: 76WinstonD.Va
Temple of Anubis	Attack	 SHD	 GLA	0:19	6	0	2	0	0	R	ZenyattaTracer
Temple of Anubis	Attack	 SHD	 GLA	1:00	40	6	5	2	3	B	D.VaWidowmakerMercyZenyattaMercyAnaTracerGenjiWinstonD.VaD.Va
Temple of Anubis	Attack	 SHD	 GLA	2:05	38	1	6	3	3	B	TracerWinstonReaperD.VaWinstonReaperZenyatta
Temple of Anubis	Attack	 SHD	 GLA	3:14	13	1	3	0	1	R	WinstonZenyattaD.VaReaper
Temple of Anubis	Attack	 SHD	 GLA	3:57	16	1	5	1	0	R	WinstonD.VaReaperMercyTracerZenyatta
Temple of Anubis	Attack	 SHD	 GLA	4:43	24	1	5	0	1	R	MercyReaperTracerTracerD.VaWinston
Temple of Anubis	Attack	 SHD	 GLA	5:27	46	3	6	5	4	B	D.VaTracerZenyattaJunkratWinstonReaperZenyattaWinstonMercy
Temple of Anubis	Attack	 SHD	 GLA	6:51	6	1	4	1	0	R	MercyZenyattaD.VaTracerReaper
Temple of Anubis	Attack	 SHD	 GLA	7:27	0	0	1	1	0	R	Tracer
Temple of Anubis	Attack	 SHD	 GLA	7:49	14	2	1	1	1	B	JunkratReaperZenyatta
