Map	Roundtype	Blue Team	Red Team	Ults Blue	Ults Red	Teamcomp Blue	Teamcomp Red
Dorado	Attack	 SFS	 VAL	MccreeMercy	TracerMercy	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL	TracerZenyatta	WinstonZenyattaTracerGenji	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL	MercyTracerMccreeWinston	Genji	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL			MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL	Tracer	Tracer	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL	Tracer		MccreeTracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL	MercyMccreeWinston	Genji	MccreeTracerMercyZenyattaD.VaWinston	WidowmakerGenjiMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL	ZenyattaGenjiMccree	TracerZenyattaWinston	GenjiMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL	Mercy		GenjiMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL	MccreeMercy	MercyTracerGenji	GenjiMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Attack	 SFS	 VAL			GenjiMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL		Tracer	JunkratMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL	WinstonMccree	Zenyatta	MccreeTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL	JunkratWinstonZenyattaMercy	MercyZenyattaGenjiWinston	JunkratMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL	MccreeZenyatta	ZenyattaTracer	JunkratMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL			JunkratMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL	MccreeWinston	ZenyattaTracer	JunkratMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL	JunkratZenyatta	Winston	JunkratMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL	MccreeMercy	MercyGenjiTracer	JunkratMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Dorado	Defense	 SFS	 VAL			JunkratMccreeMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SFS	 VAL	ZenyattaGenjiWinstonMercyTracerGenjiTracerZenyattaWinston	ZenyattaMercyTracerWinstonGenjiTracer	GenjiTracerMercyZenyattaD.VaWinston	GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis	Attack	 SFS	 VAL	Mercy	Junkrat	GenjiTracerMercyZenyattaD.VaWinston	JunkratWidowmakerMercyZenyattaD.VaOrisa
