Map,Roundtype,Blue Team,Red Team,time,len,KB,KR,UB,UR,FB,Death Sequence,Ults Blue,Ults Red,Teamcomp Blue,Teamcomp Red
Dorado,Attack, SFS, VAL,7:54,4,1,1,2,2,B,GenjiMccree,MccreeMercy,TracerMercy,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,6:49,38,1,6,2,4,R,ZenyattaTracerWinstonWinstonMercyMccreeD.Va,TracerZenyatta,WinstonZenyattaTracerGenji,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,6:05,26,7,1,4,1,R,ZenyattaTracerWinstonD.VaMercyWinstonTracerZenyatta,MercyTracerMccreeWinston,Genji,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,4:54,19,2,4,0,0,R,MccreeTracerGenjiWinstonD.VaZenyatta,,,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,5:23,6,0,1,1,1,R,Mccree,Tracer,Tracer,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,4:05,18,6,0,1,0,B,D.VaZenyattaGenjiWidowmakerWinstonMercy,Tracer,,MccreeTracerMercyZenyattaD.VaWinston,WidowmakerGenjiMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,3:24,17,4,2,3,1,R,ZenyattaWinstonMercyD.VaGenjiMccree,MercyMccreeWinston,Genji,MccreeTracerMercyZenyattaD.VaWinston,WidowmakerGenjiMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,2:14,28,7,2,3,3,B,GenjiGenjiTracerD.VaZenyattaMercyZenyattaGenjiWinston,ZenyattaGenjiMccree,TracerZenyattaWinston,GenjiMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,1:51,7,0,1,1,0,R,Winston,Mercy,,GenjiMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,1:05,24,1,6,2,3,B,WinstonZenyattaWinstonMccreeD.VaGenjiMccree,MccreeMercy,MercyTracerGenji,GenjiMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Attack, SFS, VAL,0:29,14,5,0,0,0,B,MercyZenyattaGenjiD.VaTracer,,,GenjiMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,5:10,11,0,6,0,1,R,JunkratMccreeWinstonMercyZenyattaD.Va,,Tracer,JunkratMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,5:47,4,0,3,2,1,R,ZenyattaWinstonMccree,WinstonMccree,Zenyatta,MccreeTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,4:07,37,7,2,4,4,B,TracerZenyattaZenyattaWinstonJunkratMercyZenyattaWinstonD.Va,JunkratWinstonZenyattaMercy,MercyZenyattaGenjiWinston,JunkratMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,3:18,30,1,7,2,2,B,D.VaMccreeZenyattaMccreeJunkratMercyWinstonD.Va,MccreeZenyatta,ZenyattaTracer,JunkratMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,3:02,2,1,0,0,0,B,Genji,,,JunkratMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,2:07,23,4,0,2,2,B,ZenyattaGenjiMercyWinston,MccreeWinston,ZenyattaTracer,JunkratMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,1:44,15,2,1,2,1,B,GenjiMccreeTracer,JunkratZenyatta,Winston,JunkratMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,0:58,23,2,8,2,3,B,WinstonWinstonZenyattaJunkratZenyattaMccreeJunkratD.VaWinstonMercy,MccreeMercy,MercyGenjiTracer,JunkratMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Dorado,Defense, SFS, VAL,0:15,5,2,0,0,0,B,GenjiWinston,,,JunkratMccreeMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SFS, VAL,2:22,88,16,6,9,6,B,MercyGenjiGenjiTracerGenjiZenyattaZenyattaMercyGenjiWinstonZenyattaMercyD.VaWinstonMercyTracerZenyattaGenjiD.VaLucioGenjiTracer,ZenyattaGenjiWinstonMercyTracerGenjiTracerZenyattaWinston,ZenyattaMercyTracerWinstonGenjiTracer,GenjiTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis,Attack, SFS, VAL,1:20,18,6,2,1,1,B,OrisaZenyattaWidowmakerGenjiJunkratZenyattaMercyD.Va,Mercy,Junkrat,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis,Attack, SFS, VAL,0:41,19,4,5,0,1,B,MercyWinstonTracerWidowmakerZenyattaD.VaJunkratMercyZenyatta,,Widowmaker,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaOrisa
Temple of Anubis,Defense, SFS, VAL,3:35,36,2,7,4,4,R,ZenyattaGenjiTracerMercyWinstonGenjiD.VaTracerMercy,MercyGenjiZenyattaTracer,ZenyattaMercyWinstonGenji,GenjiTracerMercyZenyattaD.VaWinston,GenjiTracerMercyZenyattaD.VaWinston
Temple of Anubis,Defense, SFS, VAL,2:43,27,4,0,2,0,B,JunkratZenyattaWidowmakerWinston,GenjiWinston,,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaWinston
Temple of Anubis,Defense, SFS, VAL,1:30,54,4,7,4,5,R,WinstonWinstonZenyattaZenyattaZenyattaMercyJunkratWinstonGenjiD.VaTracer,TracerGenjiZenyattaTracer,JunkratZenyattaMercyWinstonWidowmaker,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaWinston
Temple of Anubis,Defense, SFS, VAL,0:57,12,3,3,2,1,R,TracerGenjiWinstonWinstonZenyattaD.Va,MercyGenji,Widowmaker,GenjiTracerMercyZenyattaD.VaWinston,JunkratWidowmakerMercyZenyattaD.VaWinston
